idproduto;ean;descricaoproduto;pisclassificacaofiscal;pisaliquota;cofinsclassificacaofiscal;cofinsaliquota;csosn;codigoncm;aliquota;
5;"7898031170112";"SABAO EM PO INVICTO 800G";"49";0,00;"49";0,00;"500";"34025000";0,00;
14;"7896060401603";"SABAO EM PO DE COCO RUTH 500G";"49";0,00;"49";0,00;"500";"34025000";0,00;
19;"7891035500008";"LUSTRA MOVEIS POLIFLOR JASMIN 200ML";"49";0,00;"49";0,00;"102";"34052000";0,00;
20;"7896050500071";"OLEO KING 100 ML";"49";0,00;"49";0,00;"500";"27101931";0,00;
21;"0000078901919";"OLEO DE PEROBA 100ML";"49";0,00;"49";0,00;"102";"27101999";0,00;
23;"7891035502200";"LUSTRA-MOVEIS POLIFLOR LAVANDA 200ML";"49";0,00;"49";0,00;"102";"34052000";0,00;
28;"7891035210006";"VEJA MULTIUSO ORIGINAL 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
31;"7896040704632";"CASA E PERFUME BELA FLORE 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
32;"7896040704618";"CASA E PERFUME SENSUALIDAD 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
38;"7891035224102";"VEJA VIDREX LIMPA VIDROS CRISTAL 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
30704;"7896020620020";"CADEIRA DE PRAIA ACO - MOR";"49";0,00;"49";0,00;"102";"94017900";0,00;
52;"0070612001238";"GRAND PRIX TRADICIONAL 200G";"49";0,00;"49";0,00;"102";"34053000";0,00;
58;"7896423800029";"VELAS CHAMA N  6";"49";0,00;"49";0,00;"102";"34060000";0,00;
61;"7896506000018";"LIMPA ALUMINIO MIX 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
62;"7891022639001";"DETERGENTE LIMPOL MACA 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
63;"7891022638004";"DETERGENTE LIMPOL NEUTRO 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
64;"7891022637007";"DETERGENTE LIMPOL LIMAO 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
65;"7891022100372";"DETERGENTE LIMPOL CRISTAL 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
66;"7891022640007";"DETERGENTE LIMPOL COCO 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
67;"7896098900208";"DETERGENTE YPE NEUTRO 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
68;"7896098900215";"DETERGENTE YPE MACA 500ML";"49";0,00;"49";0,00;"500";"34025000";0,00;
